team,stat,value,zscore
Colorado Avalanche,CF%,55.6,1.0548134752829148
Colorado Avalanche,xGF,13.2,1.8410798932270565
Colorado Avalanche,xGA,9.9,-0.2728640281022109
Colorado Avalanche,SCF%,55.2,1.0284896359837836
Colorado Avalanche,HDF%,52.0,0.40178788809206273
Colorado Avalanche,HDC%,7.1,-0.3545130858468499
Colorado Avalanche,HDCO%,2.7,-1.3131130680279752
Washington Capitals,CF%,53.9,0.7078857059032854
Washington Capitals,xGF,12.6,1.5465071103107275
Washington Capitals,xGA,9.1,0.1991169934799918
Washington Capitals,SCF%,54.9,0.9728642810235331
Washington Capitals,HDF%,65.2,2.386761033473201
Washington Capitals,HDC%,3.2,-1.2519417494104776
Washington Capitals,HDCO%,0.0,-1.9715748734697456
Carolina Hurricanes,CF%,63.0,2.5649696478765933
Carolina Hurricanes,xGF,12.3,1.3992207188525634
Carolina Hurricanes,xGA,6.8,1.5560624305288233
Carolina Hurricanes,SCF%,62.8,2.437665294976775
Carolina Hurricanes,HDF%,63.9,2.191271254003846
Carolina Hurricanes,HDC%,11.4,0.6349595432104835
Carolina Hurricanes,HDCO%,0.0,-1.9715748734697456
Vegas Golden Knights,CF%,55.0,0.9323683802077515
Vegas Golden Knights,xGF,10.1,0.3191205148260226
Vegas Golden Knights,xGA,7.5,1.1430790366443961
Vegas Golden Knights,SCF%,50.3,0.11994217163303737
Vegas Golden Knights,HDF%,50.0,0.10103438121613273
Vegas Golden Knights,HDC%,7.5,-0.26246912035314435
Vegas Golden Knights,HDCO%,14.0,1.4426715251172118
Detroit Red Wings,CF%,50.2,-0.047192380393553036
Detroit Red Wings,xGF,9.7,0.12273865954846962
Detroit Red Wings,xGA,10.4,-0.5678521665910873
Detroit Red Wings,SCF%,47.4,-0.4177695929827095
Detroit Red Wings,HDF%,50.8,0.2213357839665043
Detroit Red Wings,HDC%,5.7,-0.6766669650748187
Detroit Red Wings,HDCO%,5.9,-0.5327138912080992
Montreal Canadiens,CF%,49.7,-0.14922995962285565
Montreal Canadiens,xGF,9.8,0.17183412336785853
Montreal Canadiens,xGA,7.5,1.1430790366443961
Montreal Canadiens,SCF%,52.5,0.5278614413415357
Montreal Canadiens,HDF%,49.2,-0.01926702153423884
Montreal Canadiens,HDC%,11.8,0.7270035087041891
Montreal Canadiens,HDCO%,11.4,0.8085971939510627
Nashville Predators,CF%,50.6,0.03443768298988876
Nashville Predators,xGF,8.5,-0.4664069062841884
Nashville Predators,xGA,10.8,-0.8038426773821887
Nashville Predators,SCF%,47.3,-0.4363113779694597
Nashville Predators,HDF%,52.8,0.5220892908424343
Nashville Predators,HDC%,7.3,-0.3084911030999971
Nashville Predators,HDCO%,12.8,1.1500218338097585
Winnipeg Jets,CF%,43.5,-1.4144959420662087
Winnipeg Jets,xGF,5.2,-2.086557212323999
Winnipeg Jets,xGA,9.4,0.02212411038666552
Winnipeg Jets,SCF%,38.6,-2.0494466718167
Winnipeg Jets,HDF%,38.5,-1.628298283320465
Winnipeg Jets,HDC%,16.7,1.85454208600208
Winnipeg Jets,HDCO%,7.7,-0.093739354246919
Vancouver Canucks,CF%,46.1,-0.8839005300738347
Vancouver Canucks,xGF,8.2,-0.6136932977423534
Vancouver Canucks,xGA,12.0,-1.5118142097554916
Vancouver Canucks,SCF%,44.1,-1.0296484975454556
Vancouver Canucks,HDF%,44.6,-0.7110000873488781
Vancouver Canucks,HDC%,10.8,0.4968935949699255
Vancouver Canucks,HDCO%,6.8,-0.31322662272750923
Utah Mammoth,CF%,52.7,0.46299551575296
Utah Mammoth,xGF,9.0,-0.22092958718724742
Utah Mammoth,xGA,8.8,0.376109876573317
Utah Mammoth,SCF%,51.1,0.2682764515270374
Utah Mammoth,HDF%,52.2,0.43186323877965616
Utah Mammoth,HDC%,7.9,-0.17042515485943885
Utah Mammoth,HDCO%,3.0,-1.239950645201112
Toronto Maple Leafs,CF%,48.8,-0.3328976022356015
Toronto Maple Leafs,xGF,11.1,0.8100751530199045
Toronto Maple Leafs,xGA,11.2,-1.039833188173289
Toronto Maple Leafs,SCF%,48.6,-0.19526817314171016
Toronto Maple Leafs,HDF%,47.4,-0.2899451777225765
Toronto Maple Leafs,HDC%,14.3,1.302278293039848
Toronto Maple Leafs,HDCO%,9.1,0.2476852856117766
Seattle Kraken,CF%,46.3,-0.8430854983821146
Seattle Kraken,xGF,6.1,-1.6446980379495053
Seattle Kraken,xGA,7.2,1.320071919737722
Seattle Kraken,SCF%,44.3,-0.9925649275719567
Seattle Kraken,HDF%,37.3,-1.8087503874460231
Seattle Kraken,HDC%,15.4,1.5553991981475377
Seattle Kraken,HDCO%,7.5,-0.1425143027981613
Pittsburgh Penguins,CF%,48.9,-0.3124900863897407
Pittsburgh Penguins,xGF,12.7,1.5956025741301156
Pittsburgh Penguins,xGA,10.5,-0.6268497942888624
Pittsburgh Penguins,SCF%,50.4,0.13848395661978755
Pittsburgh Penguins,HDF%,51.0,0.25141113465409776
Pittsburgh Penguins,HDC%,5.7,-0.6766669650748187
Pittsburgh Penguins,HDCO%,5.9,-0.5327138912080992
New Jersey Devils,CF%,50.7,0.05484519883574957
New Jersey Devils,xGF,9.1,-0.1718341233678594
New Jersey Devils,xGA,6.9,1.4970648028310476
New Jersey Devils,SCF%,46.7,-0.547562087889958
New Jersey Devils,HDF%,46.3,-0.4553596065043382
New Jersey Devils,HDC%,7.4,-0.2854801117265706
New Jersey Devils,HDCO%,12.1,0.9793095138804103
Boston Bruins,CF%,50.1,-0.06759989623941384
Boston Bruins,xGF,8.3,-0.5645978339229645
Boston Bruins,xGA,9.9,-0.2728640281022109
Boston Bruins,SCF%,51.2,0.2868182365137875
Boston Bruins,HDF%,46.8,-0.3801712297853557
Boston Bruins,HDC%,5.3,-0.7687109305685242
Boston Bruins,HDCO%,4.7,-0.8253635825155528
Chicago Blackhawks,CF%,47.1,-0.6798253716152295
Chicago Blackhawks,xGF,11.1,0.8100751530199045
Chicago Blackhawks,xGA,12.1,-1.5708118374532667
Chicago Blackhawks,SCF%,44.3,-0.9925649275719567
Chicago Blackhawks,HDF%,44.0,-0.8012261394116573
Chicago Blackhawks,HDC%,9.8,0.266783681235662
Chicago Blackhawks,HDCO%,7.8,-0.06935187997129796
Florida Panthers,CF%,53.9,0.7078857059032854
Florida Panthers,xGF,11.7,1.1046479359362336
Florida Panthers,xGA,10.3,-0.5088545388933122
Florida Panthers,SCF%,54.7,0.9357807110500341
Florida Panthers,HDF%,57.5,1.2288600320008702
Florida Panthers,HDC%,8.7,0.013662776127971734
Florida Panthers,HDCO%,8.8,0.1745228627849135
Dallas Stars,CF%,43.9,-1.3328658786827667
Dallas Stars,xGF,9.0,-0.22092958718724742
Dallas Stars,xGA,7.4,1.2020766643421712
Dallas Stars,SCF%,47.7,-0.362144238022459
Dallas Stars,HDF%,46.8,-0.3801712297853557
Dallas Stars,HDC%,8.3,-0.07838118936573335
Dallas Stars,HDCO%,13.8,1.3938965765659697
New York Rangers,CF%,52.8,0.48340303159881937
New York Rangers,xGF,12.6,1.5465071103107275
New York Rangers,xGA,11.8,-1.3938189543599415
New York Rangers,SCF%,54.6,0.9172389260632839
New York Rangers,HDF%,61.4,1.8153293704089335
New York Rangers,HDC%,6.9,-0.4005350685937024
New York Rangers,HDCO%,2.9,-1.264338119476733
Edmonton Oilers,CF%,52.6,0.4425879999070992
Edmonton Oilers,xGF,8.6,-0.4173114424648004
Edmonton Oilers,xGA,6.1,1.9690458244132503
Edmonton Oilers,SCF%,54.5,0.8986971410765338
Edmonton Oilers,HDF%,50.0,0.10103438121613273
Edmonton Oilers,HDC%,0.0,-1.988293473360121
Edmonton Oilers,HDCO%,6.7,-0.3376140970031302
Minnesota Wild,CF%,48.8,-0.3328976022356015
Minnesota Wild,xGF,7.2,-1.104647935936235
Minnesota Wild,xGA,12.7,-1.9247976036399184
Minnesota Wild,SCF%,43.3,-1.1779827774394558
Minnesota Wild,HDF%,40.3,-1.3576201271321282
Minnesota Wild,HDC%,3.6,-1.1598977839167723
Minnesota Wild,HDCO%,9.1,0.2476852856117766
Anaheim Ducks,CF%,56.1,1.1568510545122175
Anaheim Ducks,xGF,8.8,-0.31912051482602344
Anaheim Ducks,xGA,10.9,-0.8628403050799638
Anaheim Ducks,SCF%,51.5,0.3424435914740367
Anaheim Ducks,HDF%,51.2,0.2814864853416912
Anaheim Ducks,HDC%,6.7,-0.4465570513405552
Anaheim Ducks,HDCO%,13.0,1.1987967823610006
Ottawa Senators,CF%,56.7,1.279296149587381
Ottawa Senators,xGF,9.3,-0.07364319572908247
Ottawa Senators,xGA,9.5,-0.036873517311109556
Ottawa Senators,SCF%,56.1,1.1953657008645324
Ottawa Senators,HDF%,50.0,0.10103438121613273
Ottawa Senators,HDC%,11.9,0.7500145000776153
Ottawa Senators,HDCO%,14.0,1.4426715251172118
St. Louis Blues,CF%,52.7,0.46299551575296
St. Louis Blues,xGF,10.8,0.6627887615617405
St. Louis Blues,xGA,8.8,0.376109876573317
St. Louis Blues,SCF%,52.9,0.6020285812885351
St. Louis Blues,HDF%,54.1,0.7175790703117895
St. Louis Blues,HDC%,9.8,0.266783681235662
St. Louis Blues,HDCO%,11.4,0.8085971939510627
Tampa Bay Lightning,CF%,47.9,-0.5165652448483459
Tampa Bay Lightning,xGF,9.8,0.17183412336785853
Tampa Bay Lightning,xGA,10.0,-0.331861655799986
Tampa Bay Lightning,SCF%,49.0,-0.12110103319471081
Tampa Bay Lightning,HDF%,53.3,0.5972776675614169
Tampa Bay Lightning,HDC%,2.4,-1.4360296803978883
Tampa Bay Lightning,HDCO%,10.3,0.5403349769192304
Los Angeles Kings,CF%,53.6,0.6466631583657044
Los Angeles Kings,xGF,11.3,0.9082660806586815
Los Angeles Kings,xGA,7.8,0.9660861535510704
Los Angeles Kings,SCF%,55.9,1.158282130891032
Los Angeles Kings,HDF%,51.4,0.3115618360292835
Los Angeles Kings,HDC%,11.9,0.7500145000776153
Los Angeles Kings,HDCO%,5.4,-0.6546512625862048
Philadelphia Flyers,CF%,45.4,-1.026753140994859
Philadelphia Flyers,xGF,6.6,-1.3992207188525643
Philadelphia Flyers,xGA,7.5,1.1430790366443961
Philadelphia Flyers,SCF%,46.2,-0.6402710128237076
Philadelphia Flyers,HDF%,44.7,-0.6959624120050814
Philadelphia Flyers,HDC%,4.5,-0.952798861555935
Philadelphia Flyers,HDCO%,7.1,-0.24006419990064587
San Jose Sharks,CF%,35.1,-3.1287272731184923
San Jose Sharks,xGF,6.1,-1.6446980379495053
San Jose Sharks,xGA,10.6,-0.6858474219866375
San Jose Sharks,SCF%,35.6,-2.6057002214191973
San Jose Sharks,HDF%,35.3,-2.109503894321953
San Jose Sharks,HDC%,21.7,3.005091654673398
San Jose Sharks,HDCO%,13.2,1.2475717309122427
Calgary Flames,CF%,51.4,0.19769780975677237
Calgary Flames,xGF,8.6,-0.4173114424648004
Calgary Flames,xGA,10.4,-0.5678521665910873
Calgary Flames,SCF%,51.3,0.30536002150053637
Calgary Flames,HDF%,47.8,-0.2297944763473907
Calgary Flames,HDC%,8.6,-0.009348215245454539
Calgary Flames,HDCO%,14.6,1.5889963707709385
Columbus Blue Jackets,CF%,47.9,-0.5165652448483459
Columbus Blue Jackets,xGF,8.5,-0.4664069062841884
Columbus Blue Jackets,xGA,10.0,-0.331861655799986
Columbus Blue Jackets,SCF%,50.2,0.10140038664628852
Columbus Blue Jackets,HDF%,48.5,-0.12453074894081477
Columbus Blue Jackets,HDC%,11.1,0.5659265690902043
Columbus Blue Jackets,HDCO%,2.9,-1.264338119476733
Buffalo Sabres,CF%,48.7,-0.35330511808146087
Buffalo Sabres,xGF,8.3,-0.5645978339229645
Buffalo Sabres,xGA,9.2,0.14011936578221673
Buffalo Sabres,SCF%,44.4,-0.9740231425852065
Buffalo Sabres,HDF%,49.0,-0.04934237222183226
Buffalo Sabres,HDC%,7.4,-0.2854801117265706
Buffalo Sabres,HDCO%,7.1,-0.24006419990064587
New York Islanders,CF%,54.1,0.748700737595007
New York Islanders,xGF,8.2,-0.6136932977423534
New York Islanders,xGA,9.0,0.2581146211777669
New York Islanders,SCF%,51.3,0.30536002150053637
New York Islanders,HDF%,45.2,-0.6207740352860989
New York Islanders,HDC%,5.7,-0.6766669650748187
New York Islanders,HDCO%,7.0,-0.2644516741762669
