,,Win,,Cover,,Total Points,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet
Blues,2025-10-11 16:00:00,-118,16.95,1.5,41.00,5.5,17.86
Flames,2025-10-11 16:00:00,105,21.00,1.5,8.51,5.5,19.61
Sabres,2025-10-11 19:00:00,100,20.00,1.5,8.00,5.5,14.49
Bruins,2025-10-11 19:00:00,-115,17.39,-1.5,43.00,6.5,14.81
Flyers,2025-10-11 19:00:00,240,48.00,1.5,20.00,5.5,15.38
Hurricanes,2025-10-11 19:00:00,-275,7.27,-1.5,19.05,6.0,18.18
Canadiens,2025-10-11 19:00:00,-155,12.90,1.5,31.60,5.5,13.79
Blackhawks,2025-10-11 19:00:00,140,28.00,1.5,11.76,6.5,14.93
Maple Leafs,2025-10-11 19:00:00,-140,14.29,1.5,35.00,5.5,15.38
Red Wings,2025-10-11 19:00:00,125,25.00,1.5,10.00,6.5,14.29
Senators,2025-10-11 19:00:00,125,25.00,1.5,10.00,5.5,17.39
Panthers,2025-10-11 19:00:00,-140,14.29,-1.5,34.00,5.5,20.00
Capitals,2025-10-11 19:00:00,-115,17.39,-1.5,43.00,5.5,17.54
Islanders,2025-10-11 19:00:00,100,20.00,1.5,8.00,5.5,19.05
Rangers,2025-10-11 19:00:00,-140,14.29,1.5,35.00,5.5,14.29
Penguins,2025-10-11 19:00:00,126,25.20,1.5,10.31,6.5,14.81
Devils,2025-10-11 19:00:00,130,26.00,1.5,10.81,6.0,17.86
Lightning,2025-10-11 19:00:00,-145,13.79,-1.5,34.00,6.5,15.38
Blue Jackets,2025-10-11 20:00:00,140,28.00,1.5,11.43,5.5,14.81
Wild,2025-10-11 20:00:00,-160,12.50,-1.5,32.00,6.5,13.79
Mammoth,2025-10-11 20:00:00,-125,16.00,1.5,42.00,5.5,16.67
Predators,2025-10-11 20:00:00,106,21.20,1.5,8.89,6.0,16.67
Stars,2025-10-11 21:00:00,125,25.00,1.5,10.00,6.0,17.39
Avalanche,2025-10-11 21:00:00,-140,14.29,-1.5,35.00,6.5,15.63
Canucks,2025-10-11 22:00:00,145,29.00,1.5,12.50,5.5,14.81
Oilers,2025-10-11 22:00:00,-170,11.76,-1.5,30.00,6.5,15.15
Golden Knights,2025-10-11 22:00:00,-167,11.98,1.5,29.60,6.0,18.18
Kraken,2025-10-11 22:00:00,146,29.20,1.5,12.50,6.5,15.38
Ducks,2025-10-11 22:00:00,-124,16.13,1.5,39.20,6.0,16.00
Sharks,2025-10-11 22:00:00,110,22.00,1.5,9.30,6.5,19.61